Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
27,26,5,5,22,20,20,Train/20/00020_00000_00000.png
28,27,5,6,23,22,20,Train/20/00020_00000_00001.png
29,26,6,5,24,21,20,Train/20/00020_00000_00002.png
28,27,5,6,23,22,20,Train/20/00020_00000_00003.png
28,26,5,5,23,21,20,Train/20/00020_00000_00004.png
31,27,6,5,26,22,20,Train/20/00020_00000_00005.png
31,28,6,6,26,23,20,Train/20/00020_00000_00006.png
31,28,6,6,26,23,20,Train/20/00020_00000_00007.png
31,29,5,6,26,24,20,Train/20/00020_00000_00008.png
34,32,6,6,29,26,20,Train/20/00020_00000_00009.png
36,33,5,6,31,28,20,Train/20/00020_00000_00010.png
37,34,5,6,32,29,20,Train/20/00020_00000_00011.png
38,34,5,6,32,29,20,Train/20/00020_00000_00012.png
40,34,6,6,34,29,20,Train/20/00020_00000_00013.png
39,34,5,5,34,29,20,Train/20/00020_00000_00014.png
42,36,6,5,37,31,20,Train/20/00020_00000_00015.png
45,39,6,5,40,34,20,Train/20/00020_00000_00016.png
47,42,5,5,41,36,20,Train/20/00020_00000_00017.png
50,45,5,5,45,40,20,Train/20/00020_00000_00018.png
55,49,6,5,49,43,20,Train/20/00020_00000_00019.png
56,51,6,6,51,46,20,Train/20/00020_00000_00020.png
59,54,5,5,54,49,20,Train/20/00020_00000_00021.png
64,57,6,5,59,52,20,Train/20/00020_00000_00022.png
70,61,6,5,64,56,20,Train/20/00020_00000_00023.png
76,69,6,6,70,63,20,Train/20/00020_00000_00024.png
86,75,8,6,79,69,20,Train/20/00020_00000_00025.png
97,87,8,7,89,80,20,Train/20/00020_00000_00026.png
111,100,9,8,102,92,20,Train/20/00020_00000_00027.png
131,119,12,11,120,109,20,Train/20/00020_00000_00028.png
166,152,15,14,152,139,20,Train/20/00020_00000_00029.png
29,31,5,6,24,26,20,Train/20/00020_00001_00000.png
31,30,6,5,25,25,20,Train/20/00020_00001_00001.png
31,31,5,6,26,26,20,Train/20/00020_00001_00002.png
33,31,6,5,28,25,20,Train/20/00020_00001_00003.png
34,32,5,6,29,27,20,Train/20/00020_00001_00004.png
36,33,6,6,30,27,20,Train/20/00020_00001_00005.png
37,34,6,6,32,29,20,Train/20/00020_00001_00006.png
37,34,5,5,31,28,20,Train/20/00020_00001_00007.png
38,36,5,6,33,31,20,Train/20/00020_00001_00008.png
38,35,5,5,33,30,20,Train/20/00020_00001_00009.png
40,37,5,6,35,32,20,Train/20/00020_00001_00010.png
41,37,5,5,36,31,20,Train/20/00020_00001_00011.png
43,39,5,6,37,33,20,Train/20/00020_00001_00012.png
44,39,6,6,39,34,20,Train/20/00020_00001_00013.png
44,39,5,5,39,34,20,Train/20/00020_00001_00014.png
45,41,5,6,40,35,20,Train/20/00020_00001_00015.png
47,41,6,6,42,36,20,Train/20/00020_00001_00016.png
44,42,5,6,39,37,20,Train/20/00020_00001_00017.png
45,42,5,6,40,37,20,Train/20/00020_00001_00018.png
